operate;output;powertrain;control;comprise;speed;system;input;transition;engine;method;brake;operation;associate;mode;couple;plurality;transmission;parameter;driveline
vehicle;clutch;speed;transmission;binary;assembly;controller;include;engine;calibrate;shift;method;plurality;request;threshold;determine;brake;slip;command;connect
transmit;torque;configure;planetary;operatively;device;condition;rotation;couple;unitary;rotor;therewith;selectively;system;temperature;comprise;planetarycarrier;motor;ignition;ringgear
transmission;vehicle;controller;internal;combustion;engine;speedratio;torque;configure;command;method;change;signal;speed;comprise;threshold;input;propulsion;electricmotor;include
gearset;connect;variable;transmission;electrically;device;torque;continuously;motorgenerator;selectively;mode;transfer;input;external;ratio;planetarygearset;speed;carrier;reverse;output
plurality;spline;planetarycarrier;include;shaft;house;opening;stub;clutch;dispose;lubrication;engage;machine;comprise;passageway;extend;mechanical;lift;planetgear;adapt
torque;engine;clutch;control;output;determine;target;command;request;desire;logic;method;offgoing;actual;transmission;controller;select;minimum;inertia;profile
axle;house;rear;front;motor;configure;carrier;pinion;side;extend;tube;center;define;shiftable;axis;comprise;automatically;lower;prevent;web
gear;plane;dispose;engage;shaft;start;centripetal;remote;side;operably;configure;balance;output;couple;disconnect;plurality;include;adjacent;plate;main
area;planetarygearset;clutch;wall;dispose;locate;transmission;brake;radially;sungear;ringgear;house;axially;periphery;outer;planetarycarrier;bound;couple;define;transfer
ring;drum;piston;assembly;band;primary;house;outputshaft;finger;extend;opening;configure;aluminum;washer;piniongear;circumferential;comprise;brake;space;planetarycarrier
torque;input;output;directly;phase;mover;prime;ratio;generate;configure;start;connect;transmission;vehicle;outputshaft;electricmachine;comprise;controller;clutch;device
case;transmission;aperture;communication;tube;block;configure;wire;electronic;sensor;seal;house;input;controller;assembly;define;comprise;computer;plug;sump
inner;outer;gear;occupant;carrier;surface;shaft;synchronizer;reversegear;joint;spider;locate;distal;seat;portion;include;extend;moveable;spline;side
speed;engine;module;control;method;base;transmission;determine;vehicle;torque;system;comprise;predetermine;request;desire;downshift;power;driver;amount;increase
planetarygearset;connect;device;torquetransmit;selectively;continuously;transmission;speed;input;interconnect;output;ratio;stationary;sungear;ringgear;planetarycarrier;comprise;assembly;forward;rotary
range;transmission;operate;device;clutch;mode;park;comprise;activate;include;electronic;couple;selector;plurality;cvu;request;torque;rotatably;predetermine;controller
planetarygearset;interconnect;transmit;torque;engageable;selectively;transmission;continuously;mechanism;input;output;sungear;carrier;stationary;device;ringgear;speed;ratio;forward;establish
pump;hydraulic;speed;base;hydraulicpressure;control;determine;include;system;dual;torque;engine;operate;transmission;comprise;flywheel;method;flow;internal;motor
signal;sensor;position;system;park;control;transmission;vehicle;module;range;shift;receive;selection;configure;comprise;base;electronic;generate;method;engine
shift;mode;gear;transmission;include;speed;clutch;initial;method;target;automatictransmission;automatic;adjust;relationship;operation;control;operate;condition;execute;engage
portion;house;include;dispose;assembly;differential;surface;define;axis;extend;side;body;support;open;vent;wall;cavity;couple;attach;face
spring;lock;damp;position;engine;transmission;park;vibration;cage;connect;manual;inhibit;couple;torsional;motorvehicle;device;support;include;multi;contact
gear;transmission;gearset;countershaft;assembly;input;house;clutch;selectively;synchronizer;connect;include;dualclutch;rotatably;mesh;rotation;common;support;transfer;connectable
clutch;plate;rotate;piston;dispose;axial;apply;transmission;assembly;include;friction;bias;spring;component;surface;rotation;force;disc;input;house
torqueconverter;clutch;turbine;connect;source;point;junction;fluid;power;geartrain;isolator;configure;pump;include;define;damp;system;engage;comprise;dispose
fault;flow;comprise;management;method;belt;monitor;factor;vehicle;system;operation;base;detect;configure;adapt;determine;power;life;controller;instantaneous
mechanism;torquetransmit;planetarygearset;selectively;rotation;ratio;common;speed;transmission;engagable;connect;forward;carrier;multispeedtransmission;sungear;interconnect;ringgear;define;input;continuously
coordinate;clamp;mode;term;lock;slip;predetermine;pressure;engine;module;error;test;fast;method;determine;target;sensor;hard;low;base
clutch;transmission;seal;drive;ring;engage;device;ramp;comprise;hold;configure;rate;synchronization;progressive;maximum;slip;circuit;torqueconverter;cover;forward
electricmachine;temperature;engine;flow;cool;control;comprise;transmission;coolant;method;clutch;determine;device;monitor;fluid;circuit;system;heat;soc;base
position;transmission;target;control;switch;electricmotor;open;close;module;house;spring;actuator;damp;hydraulic;fluid;bell;ratio;determine;roc;force
axial;radial;bore;linkage;link;shift;dispose;fluid;flow;assembly;orifice;passage;chamber;open;form;transmission;align;proximate;channel;house
piniongear;sungear;mesh;ringgear;carrier;support;tooth;rotatably;rotation;surface;outer;radially;rotatable;annulargear;inner;axis;transmission;engageable;define;stationary
motorgenerator;mode;connect;operate;mechanism;output;engine;rotation;torquetransmit;input;electric;common;powertrain;electricallyvariable;operatively;motor;power;selectively;planetarygearset;engage
tensioner;drive;belt;engine;accessory;pulley;system;arm;assembly;bias;chain;pivot;mount;include;extend;comprise;bracket;locate;force;engage
sense;motorvehicle;connector;lower;upper;include;device;circuit;open;receiver;define;dock;torque;port;electric;transmitter;electrical;controller;comprise;dispose
valve;pressure;fluid;transmission;control;main;pump;regulator;communication;system;solenoid;auxiliary;switch;comprise;position;trim;hydraulic;method;supply;include
pulley;cvt;sheave;tooth;include;device;plurality;rotatable;define;endless;body;position;support;sufficient;relative;center;displacement;dispose;tube;couple
fluid;temperature;transmission;accumulator;pump;sump;vehicle;system;volume;controller;include;method;component;time;determine;discharge;predetermine;comprise;reservoir;auxiliary
piston;bore;race;engagement;assembly;portion;cylinder;fluid;disc;define;rotation;central;plurality;annular;inner;dispose;wall;direction;seal;extend
actuator;fork;fluid;force;position;method;apply;presynchronization;pressure;control;controller;velocity;comprise;predetermine;camshaftdrive;piston;synchronizer;define;include;phase
assembly;planetarygear;automatictransmission;planetgear;sungear;connect;ringgear;couple;brake;input;carrier;plurality;include;multispeed;output;selectively;clutch;torque;planetarycarrier;transmit
gear;coplanar;intermediate;intermesh;transfer;output;rotation;countershaft;input;connect;common;shaft;torque;selectively;synchronizer;gearset;plurality;include;inputshaft;engageable
pinion;outer;surface;inner;portion;bearing;assembly;dispose;diameter;include;pin;cylindrical;planetarycarrier;passage;shaft;groove;lubrication;locate;communication;define
shaft;sleeve;transmission;comprise;concentric;partially;actuate;lash;position;axially;fastener;power;connect;house;main;electromechanical;head;seal;assembly;coaxial
valve;hydraulic;fluid;port;communication;controldevice;accumulator;regulator;position;system;control;pressurize;relay;source;transmit;allow;device;spool;torque;open
fluid;cavity;configure;spool;temperature;position;flow;transmission;material;house;cool;device;valve;actuator;dispose;include;receive;wire;passage;set
mechanism;guide;surface;shape;variable;hinge;side;movement;product;radius;include;comprise;compartment;close;anchor;move;rotate;position;cam;clip
gearratio;transmission;arrangement;final;powertrain;set;method;unit;vehicle;define;comprise;input;speed;output;wheel;time;operable;motorgenerator;control;include
clutch;slip;apply;pressure;frictionclutch;method;configure;plurality;point;torque;include;range;binary;predetermine;comprise;system;control;input;gain;primary
latch;mount;direction;pin;engage;bolt;configure;device;slide;include;house;structure;piniongear;lock;surface;comprise;motorvehicle;accessory;rotational;method
respective;planetarygearset;couple;selectively;include;mechanically;device;ground;engageable;clutch;input;electricmachine;reduction;transmission;rotation;module;output;dispose;comprise;idle
mechanical;connect;pedal;assembly;operatively;mechanism;temperature;electric;comprise;crankshaft;motor;direction;output;mode;powertrain;rotation;cycle;torque;rear;ringgear
valve;port;outlet;control;fluid;assembly;position;hydraulic;logic;system;inlet;solenoid;connect;communication;pressure;include;piston;pressurize;communicate;flow
torque;control;transmission;shift;friction;engine;hold;clutch;error;device;estimate;method;stage;determine;comprise;spring;calculate;coming;time;execute
gearset;gear;interconnect;selectively;connect;transmission;countershaft;assembly;input;output;synchronizer;continuously;ratio;speed;include;reverse;adjacent;forward;engageable;connectable
